r2,Negative RMSE,alpha
0.4928797502544932,-37940.753318525116,6.1584821106602545
0.4884613259104048,-38105.60460187819,20.6913808111479
0.48702624989567056,-38159.41006454972,1.8329807108324339
0.4745928926605566,-38619.624119311266,0.5455594781168515
0.4709659180705086,-38751.89125363666,69.51927961775606
0.4623651008473352,-39066.847446003325,0.1623776739188721
0.45461078024427637,-39347.56423255227,0.04832930238571752
0.450931891691748,-39479.61167391425,0.01438449888287663
0.4500043186639823,-39513.066243122696,0.004281332398719391
0.44911528143694746,-39544.114016240004,0.000379269019073225
0.44896373796118166,-39549.78503921716,1e-05
0.44892226374148186,-39551.544928306444,3.359818286283781e-05
0.44875107161256533,-39557.46345604274,0.0012742749857031334
0.4486098703795441,-39562.24847334351,0.00011288378916846884
0.4399703099600362,-39871.13725655456,233.57214690901213
0.3976762339149885,-41349.37080821449,784.7599703514607
0.3402341314994552,-43276.444043157,2636.6508987303555
0.25627650909108374,-45948.20479086164,8858.667904100832
0.1504469272819239,-49107.84437735366,29763.51441631313
0.06528907898854522,-51508.78668574568,100000.0
